hotel_name,author_name,language,review_text,processed_review,processed_final_review,hotel_overall_rating,review_rating
Panamara Otel,recep balaban,tr,otel buraya yorum yapanlar galiba otelde kalmamış odalar leş sigara kokuyor yastıklara sigara kokusu sinmiş banyo tuvaletler lı yıllardan kalmış gibiydi kabus gece geçirdim yorumları çalışanlar sanırım klimaların filtreleri tozdan görünmüyordu sezon başında temizletin paramıza yazık,think commented hotel stay hotel room stink cigarette smell cigarette pillow bathroom toilet seemed left year nightmare night spent comment employee think filter air conditioner visible dust filter air conditioner visible dust clean beginning season waste money,think comment hotel stay hotel room stink cigarette smell cigarette pillow bathroom toilet seem left nightmare night spend comment employee think filter air condition visible dust filter air condition visible dust clean beginning season waste money,4.6,1
Panamara Otel,Ömer HALDIZ,tr,otel uygun fiyatlı temiz konumu güzel arka cephe odada kaldım balkonumdan zeytin ağacına uzanabiliyorum doğayla iç içe personel güler yüzlü saygılı karşılaşmamızda ihtiyacınız soruyorlar fazlasıyla fiyatperformans oteli katı fiyatlı oteller karşılaştırmayın oralardaki fazlalık imkanları beklemeyin gece kaldım sorun yaşamadım,hotel affordable clean location nice stayed back facade room reach olive tree balcony reach olive tree balcony intertwined nature staff friendly respectful ask need encounter ask enough priceperformance hotel compare solid price hotel expect excess facility stayed night problem,hotel affordable clean location nice stay back facade room reach olive tree balcony reach olive tree balcony intertwine nature staff friendly respectful ask need encounter ask enough price performance hotel compare solid price hotel expect excess facility stay night problem,4.6,5
Panamara Otel,Dogan Okcan,tr,resepsiyonistin müşteri ilişkisi sıfır herif dünyayı yaratmış gece uğradık kalırsanız kalın kalmazsanız kalmayın tavırları esnaf olmayı öğren odalar desen it bağlasan durmaz kahvaltı resepsiyonda uyduruk masa uyduruk odalar puanlamayı mecburen birer yıldız verdim sıfır yıldız şansım yoktu tavsiyem kesinlikle gidilecek kalınacak bir yer değil,receptionist customer relationship zero guy created world stopped night stay dont stay dont stay dont stay learn tradesman learn tradesman learn tradesman learn tradesman,receptionist customer relationship zero guy create world stop night stay not stay not stay not stay learn tradesman learn tradesman learn tradesman learn tradesman,4.6,1
Panamara Otel,furkan haksever,tr,eşim gece kaldık odalar küçük gece idare etmek uygun sabah kahvaltısı arası imiş konakladığımiz gün resepsiyondaki kişi bilgi verilse güzel olurdu kahvaltıyı kaçırdık geçe indik en azından girişte felan yazılması gerekir odada klima sebeple rahat ettik duş imkanı azından duşakabin yapılsa güzel olurdu fiyat performans denilebilir,wife stayed overnight room small convenient manage night would nice person reception day stay breakfast would nice person reception informed missed breakfast went late least written entrance comfortable room reason air conditioner shower facility would nice least shower cabin made price performance called,wife stay overnight room small convenient manage night would nice person reception day stay breakfast would nice person reception inform miss breakfast go late least write entrance comfortable room reason air condition shower facility would nice least shower cabin make price performance call,4.6,4
Panamara Otel,Nurcan Demir,tr,güler yüzlü hizmet temiz odalar için teşekkür ederim üstelik doğayla içiçe civar yerlerde tarih yatıyor dinlenme gezme için güzel tesis,thank friendly service clean room moreover history lie surrounding nature nice facility resting sightseeing,thank friendly service clean room moreover history lie surround nature nice facility rest sightsee,4.6,5
Panamara Otel,FRS3,en,traditional turkish house conversion hotel old furniture manner friendly staff suitable seasonal workers hitchhikers,traditional turkish house conversion hotel furniture manner friendly staff suitable seasonal worker hitchhiker,traditional turkish house conversion hotel furniture manner friendly staff suitable seasonal worker hitchhiker,4.6,3
Panamara Otel,Eszter Borbely,en,staff wonderful everything power make stay comfortable beds comfortable perfect place stop along journey teşekkürler,staff wonderful everything power make stay comfortable bed comfortable perfect place stop along journey thank,staff wonderful everything power make stay comfortable bed comfortable perfect place stop along journey thank,4.6,5
Panamara Otel,Hosam Ezzidin,en,well received friendly welcoming visitors,well received friendly welcoming visitor,well receive friendly welcome visitor,4.6,5
Panamara Otel,Muhammed Heiba,en,enjoyed stay thanks,enjoyed stay thanks,enjoy stay thank,4.6,5
Panamara Otel,recep balaban,en,first think comment never stayed hotel rooms smell like cigarette smoke smell cigarette smoke permeated pillows bathroom toilets looked like nightmarish night think comments made employees filters air conditioners visible due dust least cleaned beginning season shame money,first think comment never stayed hotel room smell like cigarette smoke smell cigarette smoke permeated pillow bathroom toilet looked like nightmarish night think comment made employee filter air conditioner visible due dust least cleaned beginning season shame money,first think comment never stay hotel room smell like cigarette smoke smell cigarette smoke permeate pillow bathroom toilet look like nightmarish night think comment make employee filter air condition visible due dust least cleaned begin season shame money,4.6,1
Panamare Apart & Hotel Akyaka,B.K,tr,oda dizaynı konumu dışında birşeyi birde tesadüfen gördüğümüz otoparkı olması artıydı girişte bilgi verilmedi öncelikle giriş için resepsiyonu görmeden otelin içinde tur attım hizmetlo tarif goriste yanda kapalı kulübe insanlarla iletişimi cm lik delikten bankalardan küçük yerden yapıyorlar rezervasyon fiyatını kartla ödememi istediğimi söylediğimde ücreti küsür fazla söyledi sistemde öyle değil dedim öyle görünüyor dedi google dada sistemdeki çıkmasına rağmen kafa kurunda kart işlem ücreti ekledi söyleyemedi tekrar itiraz etmeme rağmen değişmedi müşteri memnuniyeti değerlerini anladıktan gerisine bakmadım araç plakamı aldılar park alanı demediler tesadüfen gorunca kiliti açmalarını rica ettim küçük havuzu kapanıyormuş u gece giriş yaptık kullanamadık hava kararan yerlerde havuzu kapatmak nedir bilemedim sistemde kahvaltı ekstra ücretli deniliyor onunla bilgi vermediler çıkışı e koymuşlar özellikle mesajla wifi şifresi check out saatini belirtiyorlar üst katta kalmamıza rağmen valizlere yardım felan olmadı dahada kalmam,room design something location plus parking lot saw coincidence entrance information given entrance first took tour inside hotel without seeing reception entrance took tour hotel without seeing reception entrance took tour hotel service described closed hut side goriste make communication people small place bank hole make reservation price bank small place told wanted pay reservation price card said fee little said system said system seems said although system google could say added card transaction fee head rate although objected change look rest understanding value customer satisfaction took license plate say parking space asked open lock saw chance small pool closing checked night could use know close pool darkening place know close pool system breakfast called extra charge system give information put exit especially specify wifi password check time message although stayed top floor help suitcase stay,room design something location plus parking lot saw coincidence entrance information give entrance first take tour inside hotel without see reception entrance take tour hotel without see reception entrance take tour hotel service describe closed hut side goriste make communication people small place bank hole make reservation price bank small place tell wanted pay reservation price card say fee little say system say system seem say although system could say added card transaction fee head rate although objected change look rest understand value customer satisfaction take license plate say park space ask open lock saw chance small pool closing check night could use know close pool darken place know close pool system breakfast call extra charge system give information put exit especially specify wifi password check time message although stayed top floor help suitcase stay,4.6,2
Panamare Apart & Hotel Akyaka,Erhan ÖGET,tr,gece konakladığım apart tarzı yer düşüncelerimi paylaşmam gerektiğini hissettim akyakadaki apartların tip mimari hizmete bakmamız lazım otele gelmeden akşam aradığımda yer gelip odaları görerek rezervasyon yapabileceğimiz söylenmişken otele geldiğimizde oda söylendi sıcak havada dolaşmamak adına dedik ücreti kart istediğimizde günlük fark istediler ibana açıklamasız para transferi yaptırdılar odadaki eşyalarda ses gıcırtı mevcuttu lambanın yanmıyordu banyo eski duşakabin araları pis silikonlari kalkmış duruyor gün boyunca temizliğe gelen olmadı sonuçta temizlik yapmaları gereken asli işleri havuzda asla bakım küçücük temizlik olmayınca düşünün buradaki temiz yorumlarına kanmamak adına söylüyorum akyaka genelindeki apart işletmecilerinde genel somurtkanlık söz konusu doluyor havasındalar i̇yi yönleri tabiki otopark büyük sorun olmasına otelin yan tarafında kendine otoparkı wifi çekiyor azmak çayına yakın merkezi konumda güncelleme elif hanım görüştük konulara açıklık getirdi temizlik günde yapılıyor yazılmış cevap elif hanım günde yapıldığını söyledi gün kaldığımız denk gelmiş yorumların kendileri önemli değer verdiklerini değerlendirmede memnuniyet odaklı çalıştıklarını söyledi sorunda elif hanım iletişime geçilebilir,felt share thought apart style place stayed night need look type architectural service apartment akyakada called evening coming hotel told could make reservation coming hotel seeing room came hotel told room order wander hot weather asked card asked daily difference made money transfer without explanation sound squeak item room lamp lit bathroom shower cabin shower cabin dirty silicone removed one coming clean day cleaning main job never maintenance pool tiny cleanliness cleanliness say order fooled clean comment say general sullenness apart operator akyaka general sullenness mood filling general good aspect course parking big problem hotel parking lot side hotel wifi attracts wifi close azmak tea central location update elif lady discussed issue clarified issue clarified cleaning done per day written answer elif lady said done per day said comment coincided day stayed day said work focused satisfaction evaluation value important said work focused satisfaction evaluation problem elif lady contacted,felt share think apart style place stay night need look type architectural service apartment akyaka call even come hotel tell could make reservation come hotel see room come hotel tell room order wander hot weather ask card ask daily difference make money transfer without explanation sound squeak item room lamp lit bathroom shower cabin shower cabin dirty silicone remove one come clean day clean main job never maintenance pool tiny cleanliness cleanliness say order fool clean comment say general sullenness apart operator akyaka general sullenness mood fill general good aspect course park big problem hotel parking lot side hotel wifi attract wifi close azmak tea central location update elif lady discuss issue clarify issue clarify clean do per day write answer elif lady say do per day say comment coincide day stay day say work focused satisfaction evaluation value important say work focused satisfaction evaluation problem elif lady contact,4.6,3
Panamare Apart & Hotel Akyaka,Gökhan Kadıoğlu,tr,temmuz arası konaklama şanssızlığında bulunduğum kyk yurtlarının yarı kalitesine erişemeyen işletme ticari işletme hakkında olumsuz yorum yaparak kazançlarına mani ekmeklerine engel vicdansızlık düşünür yıldız veren müşterileri şımarık halden anlamayan kişiler şeklinde yorumlardım dün fikrim işletmede konaklama talihsizliğinden maalesef değişti bilenler bilir akyaka mevkisindeki apartların mimarileri hemen hemen aynıdır yüzden işletmesinin b işletmesinden farkı hizmet kalitesi ölçülür gelelim panamera akyaka pansiyonununu kötü yapan nedir bakalım resepsiyon girişinin muşamba kapatılıp müşteri küçük delikten diyalog kurulması 90larda otobüs bileti alıyor izlenimi yaratması ödemenin nakit alınması kredi kartı alımda fark alınacağını söylenmesi odada duşakabinin kırık banyo apliğinin ucu elektrik bandı özensizce sarılmış kabloların odada havlularin unutulmuş havlu talep ettiğimizde görevlilerce odanın içine girilip gerçekten havlu verilip verilmediğinin kontrol yurt müdiresi havasında günlük konaklamada duş spiralinin patlaması yerden geçen kablo kanalları içine alınmamış elektrik anten kablolarının varlığı yıllık görülen banyo terlikleri oda içinde kullanım ömürlerini uzun zaman tamamlayan yatak baza başlığı kanepe mutfak dolapları tezgahı dışında işletme hakkında olumsuz yorum yapan kişilere işletme sahiplerinin kaba cevap verdiklerini müşterileri suçladıklarını görmekteyim yorumuma benzer şekilde cevap veren zahmet etmesin,misfortune staying july july unlucky enough stay kyk dormitory could reach half quality kyk dormitory making negative comment business commercial enterprise would interpret customer gave star spoiled people understand situation unfortunately opinion changed yesterday misfortune staying business know know architecture apartment akyaka almost difference business b business measured quality service see make panamera akyaka pension bad see make reception entrance closed linoleum establishing dialogue customer small hole creating impression buying bus ticket 90 taking payment cash taking credit card saying difference taken shower cabin room broken end bathroom sconce broken electrical tape carelessly wrapped electrical tape cable forgotten room towel forgotten room request towel staff enter room staff check whether towel really given whether towel really given mood dormitory director explosion shower spiral daily stay cable channel passing floor enclosed presence electrical antenna cable annual bathroom slipper seen room bed base headboard completed service life long time bed base headboard sofa kitchen cabinet countertop except negative comment business see business owner respond rudely people make negative comment business blame customer see blame customer respond comment similar way bother,misfortune stay july july unlucky enough stay kyk dormitory could reach half quality kyk dormitory make negative comment business commercial enterprise would interpret customer give star spoiled people understand situation unfortunately opinion change yesterday misfortune stay business know know architecture apartment akyaka almost difference business business measure quality service see make panamera akyaka pension bad see make reception entrance close linoleum establish dialogue customer small hole create impression buying bus ticket take payment cash take credit card say difference take shower cabin room broken end bathroom sconce broken electrical tape carelessly wrap electrical tape cable forgotten room towel forgotten room request towel staff enter room staff check whether towel really give whether towel really give mood dormitory director explosion shower spiral daily stay cable channel pass floor enclose presence electrical antenna cable annual bathroom slipper see room bed base headboard complete service life long time bed base headboard sofa kitchen cabinet countertop except negative comment business see business owner respond rudely people make negative comment business blame customer see blame customer respond comment similar way bother,4.6,1
Panamare Apart & Hotel Akyaka,Faruk Yapar,tr,kesinlikle akyakada tatilimi yaparım apart arama serüvenine girmişken tesadüfen panamare apartla karşılaştım fiyatı cazip geldi rezervasyon yaptırmadan direkt buraya geldim resepsiyon çalışan personel yardımcı boş odaları gezdirdi istinaden odamızı kiraladık özellikle çalışan personel zeliha hanıma yardımları iletişimi teşekkür etsem azdır kendimizi evimizde hissettirmemizi sağladı özellikle yetişkinler çocuklar güzel havuzu gelecek yıllarda akyakaya uğradığımda kesinlikle tercihim olacaktır,would definitely make vacation akyakada came across panamare apart chance adventure searching apartment price attractive came directly without making reservation staff working reception desk helped visit empty room rented room based request especially staff worked staff zeliha lady help staff communication help less thank made feel home especially adult child beautiful pool definitely choice visit akyakaya coming year,would definitely make vacation akyaka come across panamare apart chance adventure search apartment price attractive come directly without make reservation staff work reception desk help visit empty room rent room base request especially staff worked staff zeliha lady help staff communication help less thank make feel home especially adult child beautiful pool definitely choice visit akyaka come,4.6,5
Panamare Apart & Hotel Akyaka,İlkay Gencer,tr,şirin nezih tertemiz aile işletmesi azmak nehrine marketlere merkeze yakın avantajki an elinizin altında odalar tertemiz mis şık dizayn edilmiş mutfakta işinize yarayacak eşya mevcut ihtiyacınız olduğunda eksik olduğunda hemen yardımcı olunuyor sahibi elif teyzeye oğluna teşekkür ederiz dahaki geldiğimizde tercih edrr miyiz kesinlikle evet,cute decent immaculate family business azmak river close center market market close center advantage moment fingertip room immaculate clean stylishly designed kitchen need good work business available need help immediately missing need thank owner elif aunt son next time next time prefer next time definitely,cute decent immaculate family business azmak river close center market market close center advantage moment fingertip room immaculate clean stylishly design kitchen need good work business available need help immediately miss need thank owner elif aunt son next time next time prefer next time definitely,4.6,5
Panamare Apart & Hotel Akyaka,Katherine Aynur Kugay,en,positives exterior nice checkin efficient easy long day travel list concerns think management needs address broken shower handle sharp screw exposed one side close interior broken shower head drips water lopsided stream instead evenly distributed bedside lamps don’t work mattress insufficient  easily roll floppy edges floor bathroom visible dirt toilet seat also spots towels often stiff old hotels like also stains dining table covered dust thinking staying get pay even overpriced area paying customer don’t feel respected level amenities maintained brought children would horrified dangers presented presence exposed sharp objects shower area level hygiene update upon leaving review husband called management requesting change,positive exterior nice checkin efficient easy long day travel list concern think management need address broken shower handle sharp screw exposed one side close interior broken shower head drip water lopsided stream instead evenly distributed bedside lamp dont work mattress insufficient easily roll floppy edge floor bathroom visible dirt toilet seat also spot towel often stiff hotel like also stain dining table covered dust thinking staying get pay even overpriced area paying customer dont feel respected level amenity maintained brought child would horrified danger presented presence exposed sharp object shower area level hygiene update upon leaving review husband called management requesting change,positive exterior nice check efficient easy long day travel list concern think management need address broken shower handle sharp screw expose one side close interior broken shower head drip water lopsided stream instead evenly distributed bedside lamp not work mattress insufficient easily roll floppy edge floor bathroom visible dirt toilet seat also spot towel often stiff hotel like also stain din table cover dust think stay get pay even overpriced area pay customer not feel respected level amenity maintain brought child would horrify danger present presence expose sharp object shower area level hygiene update upon leave review husband call management requesting change,4.6,2
Panamare Apart & Hotel Akyaka,Елизавета Комарова,en,wonderful hospitable people meet help everything free parking convenient location easily reach place center foot time make repairs apartment plumbing bad condition staggering mold places bathroom day expecting higher quality apartment,wonderful hospitable people meet help everything free parking convenient location easily reach place center foot time make repair apartment plumbing bad condition staggering mold place bathroom day expecting higher quality apartment,wonderful hospitable people meet help everything free park convenient location easily reach place center foot time make repair apartment plumb bad condition stagger mold place bathroom day expect high quality apartment,4.6,3
Panamare Apart & Hotel Akyaka,Darya Batalevich,en,room really comfortable stayed two kids mom together people didnt feel squeezed plus service good,room really comfortable stayed two kid mom together people didnt feel squeezed plus service good,room really comfortable stay two kid mom together people not feel squeezed plus service good,4.6,5
Panamare Apart & Hotel Akyaka,mine oeziri,en,perfect hotel clean modern apartments location excellent river main street,perfect hotel clean modern apartment location excellent river main street,perfect hotel clean modern apartment location excellent river main street,4.6,5
Panamare Apart & Hotel Akyaka,Roxana Madrali,en,clean large rooms staff helpful walk distance beach,clean large room staff helpful walk distance beach,clean large room staff helpful walk distance beach,4.6,5
Kerme Ottoman Gökova,Gülşah Bayar,tr,otelin konumu gerçekten güzel akyakaya yakın plansız gittiğimiz içinde çocuklarla otel bulmak zorunda kaldığımız acele tercihti odalar güzel yerleşmiş ahşap düşünülmüş heves edilmiş belli otel olurda pis olabilir anlamak zor fiyatda çok uygun resmen toz yer yeni çarşaf istedik sağolsun görevli yardımcı hemen herşeyin üzerine temiz çarşaf serdik mutfak evet pislikten imkansız kullanamadık i̇mkanları su bulundurulmaması gece yarısı su almaya markete gitmek zorunda bıraktı geceliğine ödedik yatmak bahçesi güzel havuz çocuklar yeterliydi heveslerini aldılar kısa süre girip çıktılar kapıda duran çocuk kibardı otel sahibi isteyen gelsin istemeyen gelmesin mantığında sanırım tercihimiz olmuycaktır,location hotel really nice close akyakaya find hotel child went unplanned hasty choice room beautifully settled wood thought enthusiasm thought difficult understand certain hotel dirty hotel difficult understand dirty price affordable dust officially affordable asked new sheet thank god attendant helped immediately laid clean sheet everything kitchen could use impossible filth facility water go market buy water midnight paid night paid night garden nice pool nice child enough took enthusiasm entered left short time boy standing door polite hotel owner polite owner hotel want want want guess choice,location hotel really nice close akyaka find hotel child go unplanned hasty choice room beautifully settle wood think enthusiasm think difficult understand certain hotel dirty hotel difficult understand dirty price affordable dust officially affordable ask new sheet thank god attendant help immediately laid clean sheet everything kitchen could use impossible filth facility water go market buy water midnight pay night pay night garden nice pool nice child enough take enthusiasm enter leave short time boy stand door polite hotel owner polite owner hotel want want want guess choice,4,2
Kerme Ottoman Gökova,Sefa Şenlik,tr,kaldığım dingin sevimli butik otellerden biriydi akyakaya arabayla dakika civarında mesafede otel marmaris akyaka muğladaki alternatifleri tercih edilebilir odalar temiz yeni düzenliydi üst kat odalarının bahçe havuz köy manzarası insanın içini açan cinstendi kuzenimle gece konaklama fırsatı bulduğum oteli kısa zamanda ailemle günlüğüne ziyaret etmek sabırsızlanıyorum köy ortamını seven geceleri tatil yerinin keşmekeşinden kaçmak isteyen aileler yerinde tercih olacaktır,one serene cute boutique hotel stayed around minute drive akyakaya hotel marmaris akyaka muğladaki alternative preferred room clean new tidy garden pool village view upper floor room kind opened inside person hotel opportunity stay cousin night cant wait visit hotel family day short time family love village environment want escape hustle bustle holiday destination night right choice,one serene cute boutique hotel stay around minute drive akyaka hotel marmaris akyaka muğla alternative preferred room clean new tidy garden pool village view upper floor room kind open inside person hotel opportunity stay cousin night not wait visit hotel family day short time family love village environment want escape hustle bustle holiday destination night right choice,4,5
Kerme Ottoman Gökova,Sevde KANIK,tr,araba şart akyaka dakika uygun fiyatın bedelini temizlik problemleri ödüyorsunuz bahçe sakin huzurlu odalar gözüküyor hijyen gerçekten sıkıntılı havlular sert sarı pikeler çarşaflar yıpranmış,car must akyaka minute affordable price price cleaning problem pay price garden quiet peaceful room look hygiene really troubled towel hard yellow pique sheet worn sheet,car must akyaka minute affordable price price clean problem pay price garden quiet peaceful room look hygiene really troubled towel hard yellow pique sheet worn sheet,4,3
Kerme Ottoman Gökova,Meryem Avcı,tr,otel konaklama konseptli olmasına yeterki odalar geniş ufak mutfak bölümü uzun süre kalınacaksa hazırlıklı gelindiğinde keyifli vakitler geçirilebilir doğa iç içe küçük köyün içinde huzur veriyor bahçesi havuzu görsel şölenn akyakaya azmak nehrine yakın araçla dk huzurla kaldım memnun oldum tekrar tekarr tercih edecğim biryer,hotel accommodation concept enough spacious room small kitchen section stay long time pleasant time prepared nature intertwined small village giving peace mind garden pool visual feast close river azmak akyakaya akyakaya car stayed peacefully satisfied satisfied choose place choose,hotel accommodation concept enough spacious room small kitchen section stay long time pleasant time prepared nature intertwine small village give peace mind garden pool visual feast close river azmak akyaka akyaka car stay peacefully satisfied satisfy choose place choose,4,5
Kerme Ottoman Gökova,Deniz Çakaloğlu,tr,merhabalar kesinlikle konaklama açısından burayı tercih etmiyoruz televizyon çalışmıyor yastıklar kötüydü sertti uyuyamadık temizlik sıfır yer toz içinde ayaklarımız resmen tozdan çamur biliriz havluları sert resmen zımpara duş bölümünde ahize güzel olurdu duş eli yarım duş asla alamıyorsunuz ilgi sıfır bilgi sıfır otel görsellerde görüldüğü asla hayal kırıklığı yaşayacağınız kesi̇n bayram tatilimiz maalesef rezil geçti gelmek isteyenler tekrar düşünebilirler herkese tatiller,hello definitely prefer place term accommodation television work pillow bad pillow hard could sleep cleaning zero place dust foot officially muddy dust towel hard officially sandpaper handset would nice shower section shower hand would half shower never take shower zero interest zero information zero hotel seen visual certain never experience disappointment holiday vacation unfortunately ruined want think holiday everyone,hello definitely prefer place term accommodation television work pillow bad pillow hard could sleep clean zero place dust foot officially muddy dust towel hard officially sandpaper handset would nice shower section shower hand would half shower never take shower zero interest zero information zero hotel see visual certain never experience disappointment holiday vacation unfortunately ruin want think holiday everyone,4,1
Kerme Ottoman Gökova,Turkmen Hayri,en,place like apartment real kerme otel placed akyaka pool small room may used sleep price discounted,place like apartment real kerme otel placed akyaka pool small room may used sleep price discounted,place like apartment real kerme otel place akyaka pool small room may use sleep price discount,4,2
Kerme Ottoman Gökova,Sergio Bassaro,en,lovely staff quite location peaceful atmosphere definitely gonna stay,lovely staff quite location peaceful atmosphere definitely stay,lovely staff quite location peaceful atmosphere definitely stay,4,5
Kerme Ottoman Gökova,Nur Pinar,en,nice stay ottoman palace traditional turkish cousine wonderful breakfast,nice stay ottoman palace traditional turkish cousine wonderful breakfast,nice stay ottoman palace traditional turkish cousine wonderful breakfast,4,4
Kerme Ottoman Gökova,Abdallah Mawass,en,poor wifi breakfast drinking water bad smell bathroom,poor wifi breakfast drinking water bad smell bathroom,poor wifi breakfast drinking water bad smell bathroom,4,1
