hotel_name,aspect,pos_ratio
Akyaka Yali Capkini,Beach & Water,1.0
Akyaka Yali Capkini,Leisure & Meals,1.0
Akyaka Yali Capkini,Service & Social Experience,1.0
Akyaka Yali Capkini,food,1.0
Akyaka Yali Capkini,location,0.9
Akyaka Yali Capkini,price,1.0
Akyaka Yali Capkini,room,1.0
Akyaka Yali Capkini,service,1.0
Akyaka Yeşil Apart,Accommodation & Facilities,1.0
Akyaka Yeşil Apart,Beach & Water,0.9
Akyaka Yeşil Apart,Leisure & Meals,1.0
Akyaka Yeşil Apart,Service & Social Experience,1.0
Akyaka Yeşil Apart,food,1.0
Akyaka Yeşil Apart,location,1.0
Akyaka Yeşil Apart,price,1.0
Akyaka Yeşil Apart,room,1.0
Akyaka Yeşil Apart,service,1.0
Akyaka Zeytin Apart,Accommodation & Facilities,1.0
Akyaka Zeytin Apart,Beach & Water,1.0
Akyaka Zeytin Apart,Leisure & Meals,1.0
Akyaka Zeytin Apart,Service & Social Experience,1.0
Akyaka Zeytin Apart,food,1.0
Akyaka Zeytin Apart,location,1.0
Akyaka Zeytin Apart,price,1.0
Akyaka Zeytin Apart,room,1.0
Akyaka Zeytin Apart,service,1.0
Akyaka apart mera,Accommodation & Facilities,0.4
Akyaka apart mera,Beach & Water,0.3
Akyaka apart mera,Leisure & Meals,0.3
Akyaka apart mera,Service & Social Experience,0.4
Akyaka apart mera,food,0.4
Akyaka apart mera,location,0.4
Akyaka apart mera,price,0.4
Akyaka apart mera,room,0.4
Akyaka apart mera,service,0.4
Akyaka Özgem Apart Otel,Accommodation & Facilities,1.0
Akyaka Özgem Apart Otel,Beach & Water,1.0
Akyaka Özgem Apart Otel,Leisure & Meals,1.0
Akyaka Özgem Apart Otel,Service & Social Experience,1.0
Akyaka Özgem Apart Otel,food,1.0
Akyaka Özgem Apart Otel,location,1.0
Akyaka Özgem Apart Otel,price,1.0
Akyaka Özgem Apart Otel,room,1.0
Akyaka Özgem Apart Otel,service,1.0
Ala Butik Hotel,Accommodation & Facilities,1.0
Ala Butik Hotel,Beach & Water,1.0
Ala Butik Hotel,Leisure & Meals,1.0
Ala Butik Hotel,Service & Social Experience,1.0
Ala Butik Hotel,food,1.0
Ala Butik Hotel,location,1.0
Ala Butik Hotel,price,1.0
Ala Butik Hotel,room,1.0
Ala Butik Hotel,service,1.0
Alp Suites Lavanta,Accommodation & Facilities,0.7
Alp Suites Lavanta,Beach & Water,0.7
Alp Suites Lavanta,Leisure & Meals,0.7
Alp Suites Lavanta,Service & Social Experience,0.7
Alp Suites Lavanta,food,0.7
Alp Suites Lavanta,location,0.7
Alp Suites Lavanta,price,0.7
Alp Suites Lavanta,room,0.8
Alp Suites Lavanta,service,0.7
Alp Suites Mandalin,Accommodation & Facilities,1.0
Alp Suites Mandalin,Beach & Water,1.0
Alp Suites Mandalin,Leisure & Meals,1.0
Alp Suites Mandalin,Service & Social Experience,1.0
Alp Suites Mandalin,food,1.0
Alp Suites Mandalin,location,0.9
Alp Suites Mandalin,price,1.0
Alp Suites Mandalin,room,0.9
Alp Suites Mandalin,service,1.0
Alp Suites Pinehill,Accommodation & Facilities,0.9
Alp Suites Pinehill,Beach & Water,0.9
Alp Suites Pinehill,Leisure & Meals,0.9
Alp Suites Pinehill,Service & Social Experience,0.9
Alp Suites Pinehill,food,0.9
Alp Suites Pinehill,location,0.9
Alp Suites Pinehill,price,0.9
Alp Suites Pinehill,room,0.9
Alp Suites Pinehill,service,0.9
Alp Suites Safran,Accommodation & Facilities,0.9
Alp Suites Safran,Beach & Water,1.0
Alp Suites Safran,Leisure & Meals,1.0
Alp Suites Safran,Service & Social Experience,1.0
Alp Suites Safran,food,1.0
Alp Suites Safran,location,0.9
Alp Suites Safran,price,1.0
Alp Suites Safran,room,0.9
Alp Suites Safran,service,1.0
Amber Suites Akyaka,Accommodation & Facilities,1.0
Amber Suites Akyaka,Beach & Water,1.0
Amber Suites Akyaka,Leisure & Meals,1.0
Amber Suites Akyaka,Service & Social Experience,1.0
Amber Suites Akyaka,food,1.0
Amber Suites Akyaka,location,1.0
Amber Suites Akyaka,price,0.9
Amber Suites Akyaka,room,1.0
Amber Suites Akyaka,service,1.0
Anayurt Oteli Akyaka,Accommodation & Facilities,0.5
Anayurt Oteli Akyaka,Beach & Water,0.5
Anayurt Oteli Akyaka,Leisure & Meals,0.5
Anayurt Oteli Akyaka,Service & Social Experience,0.5
Anayurt Oteli Akyaka,food,0.5
Anayurt Oteli Akyaka,location,0.5
Anayurt Oteli Akyaka,price,0.4
Anayurt Oteli Akyaka,room,0.4
Anayurt Oteli Akyaka,service,0.5
AnkAkyaka Apart Hotel,Accommodation & Facilities,0.8
AnkAkyaka Apart Hotel,Beach & Water,0.8
AnkAkyaka Apart Hotel,Leisure & Meals,0.8
AnkAkyaka Apart Hotel,Service & Social Experience,0.8
AnkAkyaka Apart Hotel,food,0.8
AnkAkyaka Apart Hotel,location,0.9
AnkAkyaka Apart Hotel,price,0.8
AnkAkyaka Apart Hotel,room,0.7
AnkAkyaka Apart Hotel,service,0.8
Ayka Otel,Accommodation & Facilities,0.8
Ayka Otel,Beach & Water,0.8
Ayka Otel,Leisure & Meals,0.8
Ayka Otel,Service & Social Experience,0.8
Ayka Otel,food,0.8
Ayka Otel,location,0.8
Ayka Otel,price,0.8
Ayka Otel,room,0.8
Ayka Otel,service,0.8
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,Accommodation & Facilities,0.8
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,Beach & Water,0.8
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,Leisure & Meals,0.8
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,Service & Social Experience,0.8
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,food,0.8
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,location,0.8
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,price,0.8
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,room,0.8
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,service,0.8
BEACON HILL SUITES,Accommodation & Facilities,1.0
BEACON HILL SUITES,Beach & Water,1.0
BEACON HILL SUITES,Leisure & Meals,1.0
BEACON HILL SUITES,Service & Social Experience,1.0
BEACON HILL SUITES,food,1.0
BEACON HILL SUITES,location,1.0
BEACON HILL SUITES,price,1.0
BEACON HILL SUITES,room,0.8
BEACON HILL SUITES,service,1.0
Balèze Boutique Hotel,Accommodation & Facilities,1.0
Balèze Boutique Hotel,Beach & Water,1.0
Balèze Boutique Hotel,Leisure & Meals,1.0
Balèze Boutique Hotel,Service & Social Experience,1.0
Balèze Boutique Hotel,food,1.0
Balèze Boutique Hotel,location,1.0
Balèze Boutique Hotel,price,1.0
Balèze Boutique Hotel,room,1.0
Balèze Boutique Hotel,service,1.0
Berlin Apart pansiyo,Accommodation & Facilities,0.2
Berlin Apart pansiyo,Beach & Water,0.3
Berlin Apart pansiyo,Leisure & Meals,0.3
Berlin Apart pansiyo,Service & Social Experience,0.3
Berlin Apart pansiyo,food,0.4
Berlin Apart pansiyo,location,0.3
Berlin Apart pansiyo,price,0.3
Berlin Apart pansiyo,room,0.3
Berlin Apart pansiyo,service,0.4
Can Apart ( Akyaka ),Accommodation & Facilities,1.0
Can Apart ( Akyaka ),Beach & Water,1.0
Can Apart ( Akyaka ),Leisure & Meals,1.0
Can Apart ( Akyaka ),Service & Social Experience,1.0
Can Apart ( Akyaka ),food,1.0
Can Apart ( Akyaka ),location,0.9
Can Apart ( Akyaka ),price,1.0
Can Apart ( Akyaka ),room,0.9
Can Apart ( Akyaka ),service,1.0
Carissa Otel,Accommodation & Facilities,0.8
Carissa Otel,Beach & Water,0.8
Carissa Otel,Leisure & Meals,0.8
Carissa Otel,Service & Social Experience,0.8
Carissa Otel,food,0.8
Carissa Otel,location,0.8
Carissa Otel,price,0.8
Carissa Otel,room,0.9
Carissa Otel,service,0.8
Ceylan Apart,Accommodation & Facilities,0.6
Ceylan Apart,Beach & Water,0.7
Ceylan Apart,Leisure & Meals,0.7
Ceylan Apart,Service & Social Experience,0.8
Ceylan Apart,food,0.7
Ceylan Apart,location,0.8
Ceylan Apart,price,0.7
Ceylan Apart,room,0.8
Ceylan Apart,service,0.9
Cumba Apart,Accommodation & Facilities,0.8
Cumba Apart,Beach & Water,0.8
Cumba Apart,Leisure & Meals,0.8
Cumba Apart,Service & Social Experience,0.8
Cumba Apart,food,0.7
Cumba Apart,location,0.9
Cumba Apart,price,0.9
Cumba Apart,room,0.7
Cumba Apart,service,0.9
Dedeoğlu Apart,Accommodation & Facilities,0.8
Dedeoğlu Apart,Beach & Water,0.8
Dedeoğlu Apart,Leisure & Meals,0.8
Dedeoğlu Apart,Service & Social Experience,0.8
Dedeoğlu Apart,food,0.8
Dedeoğlu Apart,location,0.8
Dedeoğlu Apart,price,0.8
Dedeoğlu Apart,room,0.8
Dedeoğlu Apart,service,0.8
Deger Apart Akyaka,Accommodation & Facilities,0.9
Deger Apart Akyaka,Beach & Water,0.9
Deger Apart Akyaka,Leisure & Meals,0.9
Deger Apart Akyaka,Service & Social Experience,0.9
Deger Apart Akyaka,food,0.9
Deger Apart Akyaka,location,0.9
Deger Apart Akyaka,price,0.9
Deger Apart Akyaka,room,0.9
Deger Apart Akyaka,service,1.0
Demircioğlu Park Hotel,Accommodation & Facilities,0.8
Demircioğlu Park Hotel,Beach & Water,0.8
Demircioğlu Park Hotel,Leisure & Meals,0.8
Demircioğlu Park Hotel,Service & Social Experience,0.8
Demircioğlu Park Hotel,food,0.8
Demircioğlu Park Hotel,location,0.8
Demircioğlu Park Hotel,price,0.8
Demircioğlu Park Hotel,room,0.8
Demircioğlu Park Hotel,service,0.8
Dinlen Apart Otel,Accommodation & Facilities,0.0
Dinlen Apart Otel,Beach & Water,0.0
Dinlen Apart Otel,Leisure & Meals,0.0
Dinlen Apart Otel,Service & Social Experience,0.0
Dinlen Apart Otel,food,0.0
Dinlen Apart Otel,location,0.0
Dinlen Apart Otel,price,0.0
Dinlen Apart Otel,room,0.0
Dinlen Apart Otel,service,0.0
Egehan Otel,Accommodation & Facilities,0.7
Egehan Otel,Beach & Water,0.7
Egehan Otel,Leisure & Meals,0.7
Egehan Otel,Service & Social Experience,0.7
Egehan Otel,food,0.7
Egehan Otel,location,0.7
Egehan Otel,price,0.7
Egehan Otel,room,0.8
Egehan Otel,service,0.7
Elçin Kız Öğrenci Apartı,Accommodation & Facilities,1.0
Elçin Kız Öğrenci Apartı,Beach & Water,1.0
Elçin Kız Öğrenci Apartı,Leisure & Meals,1.0
Elçin Kız Öğrenci Apartı,Service & Social Experience,1.0
Elçin Kız Öğrenci Apartı,food,1.0
Elçin Kız Öğrenci Apartı,location,1.0
Elçin Kız Öğrenci Apartı,price,1.0
Elçin Kız Öğrenci Apartı,room,1.0
Elçin Kız Öğrenci Apartı,service,1.0
Erdem Otel,Accommodation & Facilities,0.8
Erdem Otel,Beach & Water,0.9
Erdem Otel,Leisure & Meals,0.8
Erdem Otel,Service & Social Experience,0.8
Erdem Otel,food,0.8
Erdem Otel,location,0.8
Erdem Otel,price,0.8
Erdem Otel,room,0.7
Erdem Otel,service,0.8
Ersöz Butik Otel,Accommodation & Facilities,0.9
Ersöz Butik Otel,Beach & Water,0.9
Ersöz Butik Otel,Leisure & Meals,0.9
Ersöz Butik Otel,Service & Social Experience,0.9
Ersöz Butik Otel,food,1.0
Ersöz Butik Otel,location,1.0
Ersöz Butik Otel,price,0.9
Ersöz Butik Otel,room,0.9
Ersöz Butik Otel,service,0.9
Esen Apart,Accommodation & Facilities,1.0
Esen Apart,Beach & Water,1.0
Esen Apart,Leisure & Meals,1.0
Esen Apart,Service & Social Experience,1.0
Esen Apart,food,1.0
Esen Apart,location,1.0
Esen Apart,price,1.0
Esen Apart,room,1.0
Esen Apart,service,1.0
Fabric Otel Akyaka,Accommodation & Facilities,0.7
Fabric Otel Akyaka,Beach & Water,0.7
Fabric Otel Akyaka,Leisure & Meals,0.7
Fabric Otel Akyaka,Service & Social Experience,0.7
Fabric Otel Akyaka,food,0.7
Fabric Otel Akyaka,location,0.9
Fabric Otel Akyaka,price,0.7
Fabric Otel Akyaka,room,0.7
Fabric Otel Akyaka,service,0.7
Feron Otel,Accommodation & Facilities,0.6
Feron Otel,Beach & Water,0.3
Feron Otel,Leisure & Meals,0.6
Feron Otel,Service & Social Experience,0.6
Feron Otel,food,0.6
Feron Otel,location,0.8
Feron Otel,price,0.6
Feron Otel,room,0.8
Feron Otel,service,0.7
Gaye Apart Hotel,Accommodation & Facilities,0.8
Gaye Apart Hotel,Beach & Water,0.8
Gaye Apart Hotel,Leisure & Meals,0.8
Gaye Apart Hotel,Service & Social Experience,0.8
Gaye Apart Hotel,food,0.8
Gaye Apart Hotel,location,0.8
Gaye Apart Hotel,price,0.8
Gaye Apart Hotel,room,0.7
Gaye Apart Hotel,service,0.8
Gokturk Otel,Accommodation & Facilities,0.8
Gokturk Otel,Beach & Water,0.8
Gokturk Otel,Leisure & Meals,0.7
Gokturk Otel,Service & Social Experience,0.7
Gokturk Otel,food,0.8
Gokturk Otel,location,0.8
Gokturk Otel,price,0.7
Gokturk Otel,room,0.7
Gokturk Otel,service,0.7
Gökova Şemkin Apart,Accommodation & Facilities,0.9
Gökova Şemkin Apart,Beach & Water,1.0
Gökova Şemkin Apart,Leisure & Meals,1.0
Gökova Şemkin Apart,Service & Social Experience,1.0
Gökova Şemkin Apart,food,1.0
Gökova Şemkin Apart,location,1.0
Gökova Şemkin Apart,price,1.0
Gökova Şemkin Apart,room,1.0
Gökova Şemkin Apart,service,1.0
Göktürk Butik Otel,Accommodation & Facilities,0.5
Göktürk Butik Otel,Beach & Water,1.0
Göktürk Butik Otel,Leisure & Meals,1.0
Göktürk Butik Otel,Service & Social Experience,1.0
Göktürk Butik Otel,food,1.0
Göktürk Butik Otel,location,1.0
Göktürk Butik Otel,price,1.0
Göktürk Butik Otel,room,0.5
Göktürk Butik Otel,service,1.0
Gülemce Apart & Villas,Accommodation & Facilities,0.9
Gülemce Apart & Villas,Beach & Water,0.9
Gülemce Apart & Villas,Leisure & Meals,0.9
Gülemce Apart & Villas,Service & Social Experience,0.9
Gülemce Apart & Villas,food,0.9
Gülemce Apart & Villas,location,0.9
Gülemce Apart & Villas,price,0.9
Gülemce Apart & Villas,room,0.9
Gülemce Apart & Villas,service,0.9
Gülzade Konak Apart,Accommodation & Facilities,0.7
Gülzade Konak Apart,Beach & Water,0.7
Gülzade Konak Apart,Leisure & Meals,0.7
Gülzade Konak Apart,Service & Social Experience,0.7
Gülzade Konak Apart,food,0.7
Gülzade Konak Apart,location,0.7
Gülzade Konak Apart,price,0.6
Gülzade Konak Apart,room,0.7
Gülzade Konak Apart,service,0.7
Günışığı Apart,Accommodation & Facilities,0.7
Günışığı Apart,Beach & Water,0.7
Günışığı Apart,Leisure & Meals,0.7
Günışığı Apart,Service & Social Experience,0.7
Günışığı Apart,food,0.7
Günışığı Apart,location,0.8
Günışığı Apart,price,0.8
Günışığı Apart,room,0.8
Günışığı Apart,service,0.8
HAFIZOĞLU OTEL,Accommodation & Facilities,1.0
HAFIZOĞLU OTEL,Beach & Water,1.0
HAFIZOĞLU OTEL,Leisure & Meals,1.0
HAFIZOĞLU OTEL,Service & Social Experience,1.0
HAFIZOĞLU OTEL,food,1.0
HAFIZOĞLU OTEL,location,1.0
HAFIZOĞLU OTEL,price,1.0
HAFIZOĞLU OTEL,room,1.0
HAFIZOĞLU OTEL,service,1.0
Hamle Hotel,Accommodation & Facilities,0.7
Hamle Hotel,Beach & Water,0.7
Hamle Hotel,Leisure & Meals,0.7
Hamle Hotel,Service & Social Experience,0.7
Hamle Hotel,food,0.7
Hamle Hotel,location,0.6
Hamle Hotel,price,0.6
Hamle Hotel,room,0.7
Hamle Hotel,service,0.7
Hotel Azmakhan,Accommodation & Facilities,0.5
Hotel Azmakhan,Beach & Water,0.5
Hotel Azmakhan,Leisure & Meals,0.5
Hotel Azmakhan,Service & Social Experience,0.6
Hotel Azmakhan,food,0.6
Hotel Azmakhan,location,0.6
Hotel Azmakhan,price,0.6
Hotel Azmakhan,room,0.6
Hotel Azmakhan,service,0.6
Hotel Caretta,Accommodation & Facilities,0.9
Hotel Caretta,Beach & Water,0.9
Hotel Caretta,Leisure & Meals,0.9
Hotel Caretta,Service & Social Experience,0.9
Hotel Caretta,food,0.9
Hotel Caretta,location,0.9
Hotel Caretta,price,0.8
Hotel Caretta,room,0.9
Hotel Caretta,service,0.9
Hotel Grand Azmakhan Spa & Wellness,Accommodation & Facilities,0.1
Hotel Grand Azmakhan Spa & Wellness,Beach & Water,0.1
Hotel Grand Azmakhan Spa & Wellness,Leisure & Meals,0.1
Hotel Grand Azmakhan Spa & Wellness,Service & Social Experience,0.2
Hotel Grand Azmakhan Spa & Wellness,food,0.2
Hotel Grand Azmakhan Spa & Wellness,location,0.2
Hotel Grand Azmakhan Spa & Wellness,price,0.1
Hotel Grand Azmakhan Spa & Wellness,room,0.1
Hotel Grand Azmakhan Spa & Wellness,service,0.1
Hotel Yalçın,Accommodation & Facilities,0.9
Hotel Yalçın,Beach & Water,0.9
Hotel Yalçın,Leisure & Meals,0.9
Hotel Yalçın,Service & Social Experience,0.9
Hotel Yalçın,food,0.9
Hotel Yalçın,location,0.9
Hotel Yalçın,price,0.9
Hotel Yalçın,room,0.9
Hotel Yalçın,service,0.9
Huzur Apart Otel,Accommodation & Facilities,0.9
Huzur Apart Otel,Beach & Water,0.8
Huzur Apart Otel,Leisure & Meals,0.9
Huzur Apart Otel,Service & Social Experience,0.9
Huzur Apart Otel,food,0.9
Huzur Apart Otel,location,0.9
Huzur Apart Otel,price,0.9
Huzur Apart Otel,room,1.0
Huzur Apart Otel,service,0.9
Huzur Han Otel,Accommodation & Facilities,0.9
Huzur Han Otel,Beach & Water,0.9
Huzur Han Otel,Leisure & Meals,0.9
Huzur Han Otel,Service & Social Experience,0.9
Huzur Han Otel,food,0.9
Huzur Han Otel,location,0.9
Huzur Han Otel,price,0.9
Huzur Han Otel,room,0.9
Huzur Han Otel,service,0.9
Keramos Pansiyon Akyaka,Accommodation & Facilities,1.0
Keramos Pansiyon Akyaka,Beach & Water,1.0
Keramos Pansiyon Akyaka,Leisure & Meals,0.9
Keramos Pansiyon Akyaka,Service & Social Experience,0.9
Keramos Pansiyon Akyaka,food,0.9
Keramos Pansiyon Akyaka,location,1.0
Keramos Pansiyon Akyaka,price,1.0
Keramos Pansiyon Akyaka,room,1.0
Keramos Pansiyon Akyaka,service,1.0
Kerme Ottoman Gökova,Accommodation & Facilities,0.7
Kerme Ottoman Gökova,Beach & Water,0.6
Kerme Ottoman Gökova,Leisure & Meals,0.6
Kerme Ottoman Gökova,Service & Social Experience,0.7
Kerme Ottoman Gökova,food,0.7
Kerme Ottoman Gökova,location,0.9
Kerme Ottoman Gökova,price,0.6
Kerme Ottoman Gökova,room,0.7
Kerme Ottoman Gökova,service,0.7
Kerme Ottoman Palace,Accommodation & Facilities,0.5
Kerme Ottoman Palace,Beach & Water,0.3
Kerme Ottoman Palace,Leisure & Meals,0.3
Kerme Ottoman Palace,Service & Social Experience,0.4
Kerme Ottoman Palace,food,0.3
Kerme Ottoman Palace,location,0.3
Kerme Ottoman Palace,price,0.3
Kerme Ottoman Palace,room,0.6
Kerme Ottoman Palace,service,0.3
Kiraz Cicegi Butik Otel Akyaka,Accommodation & Facilities,0.7
Kiraz Cicegi Butik Otel Akyaka,Beach & Water,0.7
Kiraz Cicegi Butik Otel Akyaka,Leisure & Meals,0.7
Kiraz Cicegi Butik Otel Akyaka,Service & Social Experience,0.7
Kiraz Cicegi Butik Otel Akyaka,food,0.7
Kiraz Cicegi Butik Otel Akyaka,location,0.6
Kiraz Cicegi Butik Otel Akyaka,price,0.7
Kiraz Cicegi Butik Otel Akyaka,room,0.7
Kiraz Cicegi Butik Otel Akyaka,service,0.7
Koparan Apart,Accommodation & Facilities,0.6
Koparan Apart,Beach & Water,0.6
Koparan Apart,Leisure & Meals,0.6
Koparan Apart,Service & Social Experience,0.6
Koparan Apart,food,0.6
Koparan Apart,location,0.6
Koparan Apart,price,0.6
Koparan Apart,room,0.6
Koparan Apart,service,0.5
Kordon Otel & Apart Akyaka Ula Muğla,Accommodation & Facilities,0.7
Kordon Otel & Apart Akyaka Ula Muğla,Beach & Water,0.7
Kordon Otel & Apart Akyaka Ula Muğla,Leisure & Meals,0.7
Kordon Otel & Apart Akyaka Ula Muğla,Service & Social Experience,0.8
Kordon Otel & Apart Akyaka Ula Muğla,food,0.8
Kordon Otel & Apart Akyaka Ula Muğla,location,0.7
Kordon Otel & Apart Akyaka Ula Muğla,price,0.8
Kordon Otel & Apart Akyaka Ula Muğla,room,0.7
Kordon Otel & Apart Akyaka Ula Muğla,service,0.8
KÖRFEZ OTEL & RESTAURANT,Accommodation & Facilities,0.4
KÖRFEZ OTEL & RESTAURANT,Beach & Water,0.4
KÖRFEZ OTEL & RESTAURANT,Leisure & Meals,0.4
KÖRFEZ OTEL & RESTAURANT,Service & Social Experience,0.4
KÖRFEZ OTEL & RESTAURANT,food,0.4
KÖRFEZ OTEL & RESTAURANT,location,0.4
KÖRFEZ OTEL & RESTAURANT,price,0.4
KÖRFEZ OTEL & RESTAURANT,room,0.4
KÖRFEZ OTEL & RESTAURANT,service,0.4
Lacivert Otel Akyaka,Accommodation & Facilities,0.8
Lacivert Otel Akyaka,Beach & Water,0.8
Lacivert Otel Akyaka,Leisure & Meals,0.8
Lacivert Otel Akyaka,Service & Social Experience,0.8
Lacivert Otel Akyaka,food,0.9
Lacivert Otel Akyaka,location,1.0
Lacivert Otel Akyaka,price,0.9
Lacivert Otel Akyaka,room,0.8
Lacivert Otel Akyaka,service,0.9
Lena Apart,Accommodation & Facilities,1.0
Lena Apart,Beach & Water,1.0
Lena Apart,Leisure & Meals,1.0
Lena Apart,Service & Social Experience,1.0
Lena Apart,food,1.0
Lena Apart,location,1.0
Lena Apart,price,1.0
Lena Apart,room,1.0
Lena Apart,service,1.0
Limon Apart,Accommodation & Facilities,1.0
Limon Apart,Beach & Water,1.0
Limon Apart,Leisure & Meals,1.0
Limon Apart,Service & Social Experience,1.0
Limon Apart,food,1.0
Limon Apart,location,1.0
Limon Apart,price,1.0
Limon Apart,room,1.0
Limon Apart,service,1.0
Limon Otel,Accommodation & Facilities,0.9
Limon Otel,Beach & Water,0.7
Limon Otel,Leisure & Meals,0.7
Limon Otel,Service & Social Experience,0.7
Limon Otel,food,0.7
Limon Otel,location,0.9
Limon Otel,price,0.9
Limon Otel,room,0.7
Limon Otel,service,0.7
Liya Boutique Hotel & Suites / Villa Yonca,Accommodation & Facilities,1.0
Liya Boutique Hotel & Suites / Villa Yonca,Beach & Water,1.0
Liya Boutique Hotel & Suites / Villa Yonca,Leisure & Meals,1.0
Liya Boutique Hotel & Suites / Villa Yonca,Service & Social Experience,1.0
Liya Boutique Hotel & Suites / Villa Yonca,food,1.0
Liya Boutique Hotel & Suites / Villa Yonca,location,1.0
Liya Boutique Hotel & Suites / Villa Yonca,price,0.9
Liya Boutique Hotel & Suites / Villa Yonca,room,1.0
Liya Boutique Hotel & Suites / Villa Yonca,service,1.0
MERKEZ APART PANSİYON,Accommodation & Facilities,0.3
MERKEZ APART PANSİYON,Beach & Water,0.3
MERKEZ APART PANSİYON,Leisure & Meals,0.3
MERKEZ APART PANSİYON,Service & Social Experience,0.3
MERKEZ APART PANSİYON,food,0.4
MERKEZ APART PANSİYON,location,0.2
MERKEZ APART PANSİYON,price,0.2
MERKEZ APART PANSİYON,room,0.2
MERKEZ APART PANSİYON,service,0.4
MSKÜ Akyaka Uygulama Oteli,Accommodation & Facilities,0.8
MSKÜ Akyaka Uygulama Oteli,Beach & Water,0.4
