hotel_name,aspect,sentiment
Panamare Apart & Hotel Akyaka,breakfast_quality,positive
Panamare Apart & Hotel Akyaka,cleanliness,positive
Panamare Apart & Hotel Akyaka,room_facilities,positive
Panamare Apart & Hotel Akyaka,pool_beach,positive
Panamare Apart & Hotel Akyaka,breakfast_quality,positive
Panamare Apart & Hotel Akyaka,cleanliness,positive
Panamare Apart & Hotel Akyaka,room_facilities,positive
Panamare Apart & Hotel Akyaka,pool_beach,neutral
Panamare Apart & Hotel Akyaka,breakfast_quality,positive
Panamare Apart & Hotel Akyaka,cleanliness,positive
Panamare Apart & Hotel Akyaka,room_facilities,positive
Kerme Ottoman Gökova,pool_beach,negative
Kerme Ottoman Gökova,breakfast_quality,negative
Kerme Ottoman Gökova,cleanliness,negative
Kerme Ottoman Gökova,room_facilities,negative
Kerme Ottoman Gökova,pool_beach,positive
Kerme Ottoman Gökova,breakfast_quality,positive
Kerme Ottoman Gökova,cleanliness,positive
Kerme Ottoman Gökova,room_facilities,positive
Kerme Ottoman Gökova,pool_beach,positive
Kerme Ottoman Gökova,breakfast_quality,positive
Kerme Ottoman Gökova,cleanliness,negative
Kerme Ottoman Gökova,room_facilities,positive
Kerme Ottoman Gökova,pool_beach,positive
Kerme Ottoman Gökova,breakfast_quality,positive
Kerme Ottoman Gökova,cleanliness,positive
Kerme Ottoman Gökova,room_facilities,positive
Kerme Ottoman Gökova,pool_beach,negative
Kerme Ottoman Gökova,breakfast_quality,negative
Kerme Ottoman Gökova,cleanliness,positive
Kerme Ottoman Gökova,room_facilities,positive
Kerme Ottoman Gökova,pool_beach,neutral
Kerme Ottoman Gökova,breakfast_quality,neutral
Kerme Ottoman Gökova,cleanliness,positive
Kerme Ottoman Gökova,room_facilities,negative
Kerme Ottoman Gökova,pool_beach,positive
Kerme Ottoman Gökova,breakfast_quality,positive
Kerme Ottoman Gökova,cleanliness,positive
Kerme Ottoman Gökova,room_facilities,positive
Kerme Ottoman Gökova,pool_beach,positive
Kerme Ottoman Gökova,breakfast_quality,positive
Kerme Ottoman Gökova,cleanliness,positive
Kerme Ottoman Gökova,room_facilities,positive
Kerme Ottoman Gökova,pool_beach,negative
Kerme Ottoman Gökova,breakfast_quality,negative
Kerme Ottoman Gökova,cleanliness,negative
Kerme Ottoman Gökova,room_facilities,neutral
Kerme Ottoman Gökova,pool_beach,neutral
Kerme Ottoman Gökova,breakfast_quality,positive
Kerme Ottoman Gökova,cleanliness,positive
Kerme Ottoman Gökova,room_facilities,positive
Erdem Otel,pool_beach,negative
Erdem Otel,breakfast_quality,negative
Erdem Otel,cleanliness,negative
Erdem Otel,room_facilities,negative
Erdem Otel,pool_beach,negative
Erdem Otel,breakfast_quality,negative
Erdem Otel,cleanliness,negative
Erdem Otel,room_facilities,negative
Erdem Otel,pool_beach,positive
Erdem Otel,breakfast_quality,positive
Erdem Otel,cleanliness,positive
Erdem Otel,room_facilities,positive
Erdem Otel,pool_beach,positive
Erdem Otel,breakfast_quality,positive
Erdem Otel,cleanliness,positive
Erdem Otel,room_facilities,positive
Erdem Otel,pool_beach,positive
Erdem Otel,breakfast_quality,positive
Erdem Otel,cleanliness,positive
Erdem Otel,room_facilities,positive
Erdem Otel,pool_beach,positive
Erdem Otel,breakfast_quality,positive
Erdem Otel,cleanliness,positive
Erdem Otel,room_facilities,positive
Erdem Otel,pool_beach,positive
Erdem Otel,breakfast_quality,positive
Erdem Otel,cleanliness,positive
Erdem Otel,room_facilities,positive
Erdem Otel,pool_beach,positive
Erdem Otel,breakfast_quality,positive
Erdem Otel,cleanliness,positive
Erdem Otel,room_facilities,positive
Erdem Otel,pool_beach,positive
Erdem Otel,breakfast_quality,positive
Erdem Otel,cleanliness,positive
Erdem Otel,room_facilities,positive
Erdem Otel,pool_beach,positive
Erdem Otel,breakfast_quality,positive
Erdem Otel,cleanliness,negative
Erdem Otel,room_facilities,negative
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,positive
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,neutral
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,positive
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,positive
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,positive
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,positive
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,positive
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,positive
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,positive
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Raymar Hotels Muğla,pool_beach,positive
Raymar Hotels Muğla,breakfast_quality,positive
Raymar Hotels Muğla,cleanliness,positive
Raymar Hotels Muğla,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
Liya Boutique Hotel & Suites / Villa Yonca,pool_beach,positive
Liya Boutique Hotel & Suites / Villa Yonca,breakfast_quality,positive
Liya Boutique Hotel & Suites / Villa Yonca,cleanliness,positive
Liya Boutique Hotel & Suites / Villa Yonca,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
İskelem Butik Otel,pool_beach,positive
İskelem Butik Otel,breakfast_quality,positive
İskelem Butik Otel,cleanliness,positive
İskelem Butik Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,positive
Nova Aparts Otel,breakfast_quality,positive
Nova Aparts Otel,cleanliness,positive
Nova Aparts Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,positive
Nova Aparts Otel,breakfast_quality,positive
Nova Aparts Otel,cleanliness,positive
Nova Aparts Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,positive
Nova Aparts Otel,breakfast_quality,positive
Nova Aparts Otel,cleanliness,positive
Nova Aparts Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,positive
Nova Aparts Otel,breakfast_quality,positive
Nova Aparts Otel,cleanliness,positive
Nova Aparts Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,positive
Nova Aparts Otel,breakfast_quality,positive
Nova Aparts Otel,cleanliness,positive
Nova Aparts Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,positive
Nova Aparts Otel,breakfast_quality,positive
Nova Aparts Otel,cleanliness,positive
Nova Aparts Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,positive
Nova Aparts Otel,breakfast_quality,positive
Nova Aparts Otel,cleanliness,positive
Nova Aparts Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,positive
Nova Aparts Otel,breakfast_quality,positive
Nova Aparts Otel,cleanliness,positive
Nova Aparts Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,positive
Nova Aparts Otel,breakfast_quality,positive
Nova Aparts Otel,cleanliness,positive
Nova Aparts Otel,room_facilities,positive
Nova Aparts Otel,pool_beach,neutral
Nova Aparts Otel,breakfast_quality,negative
Nova Aparts Otel,cleanliness,negative
Nova Aparts Otel,room_facilities,neutral
Mosso Boutique Hotel,pool_beach,positive
Mosso Boutique Hotel,breakfast_quality,negative
Mosso Boutique Hotel,cleanliness,negative
Mosso Boutique Hotel,room_facilities,neutral
Mosso Boutique Hotel,pool_beach,negative
Mosso Boutique Hotel,breakfast_quality,positive
Mosso Boutique Hotel,cleanliness,negative
Mosso Boutique Hotel,room_facilities,negative
Mosso Boutique Hotel,pool_beach,positive
Mosso Boutique Hotel,breakfast_quality,positive
Mosso Boutique Hotel,cleanliness,positive
Mosso Boutique Hotel,room_facilities,positive
Mosso Boutique Hotel,pool_beach,positive
Mosso Boutique Hotel,breakfast_quality,positive
Mosso Boutique Hotel,cleanliness,positive
Mosso Boutique Hotel,room_facilities,positive
Mosso Boutique Hotel,pool_beach,positive
Mosso Boutique Hotel,breakfast_quality,positive
Mosso Boutique Hotel,cleanliness,positive
Mosso Boutique Hotel,room_facilities,positive
Mosso Boutique Hotel,pool_beach,positive
Mosso Boutique Hotel,breakfast_quality,positive
Mosso Boutique Hotel,cleanliness,positive
Mosso Boutique Hotel,room_facilities,positive
Mosso Boutique Hotel,pool_beach,neutral
Mosso Boutique Hotel,breakfast_quality,positive
Mosso Boutique Hotel,cleanliness,positive
Mosso Boutique Hotel,room_facilities,positive
Mosso Boutique Hotel,pool_beach,positive
Mosso Boutique Hotel,breakfast_quality,positive
Mosso Boutique Hotel,cleanliness,positive
Mosso Boutique Hotel,room_facilities,neutral
Mosso Boutique Hotel,pool_beach,neutral
Mosso Boutique Hotel,breakfast_quality,positive
Mosso Boutique Hotel,cleanliness,positive
Mosso Boutique Hotel,room_facilities,positive
Muğla Hotel,pool_beach,positive
Muğla Hotel,breakfast_quality,positive
Muğla Hotel,cleanliness,positive
Muğla Hotel,room_facilities,positive
Muğla Hotel,pool_beach,negative
Muğla Hotel,breakfast_quality,negative
Muğla Hotel,cleanliness,negative
Muğla Hotel,room_facilities,negative
Muğla Hotel,pool_beach,negative
Muğla Hotel,breakfast_quality,negative
Muğla Hotel,cleanliness,negative
Muğla Hotel,room_facilities,negative
Muğla Hotel,pool_beach,positive
Muğla Hotel,breakfast_quality,positive
Muğla Hotel,cleanliness,positive
Muğla Hotel,room_facilities,positive
Muğla Hotel,pool_beach,positive
Muğla Hotel,breakfast_quality,positive
Muğla Hotel,cleanliness,positive
Muğla Hotel,room_facilities,positive
Muğla Hotel,pool_beach,positive
Muğla Hotel,breakfast_quality,positive
Muğla Hotel,cleanliness,positive
Muğla Hotel,room_facilities,positive
Muğla Hotel,pool_beach,positive
Muğla Hotel,breakfast_quality,positive
Muğla Hotel,cleanliness,positive
Muğla Hotel,room_facilities,positive
Muğla Hotel,pool_beach,positive
Muğla Hotel,breakfast_quality,positive
Muğla Hotel,cleanliness,positive
Muğla Hotel,room_facilities,positive
Mevsim Otel - Akyaka Otel,pool_beach,negative
Mevsim Otel - Akyaka Otel,breakfast_quality,positive
Mevsim Otel - Akyaka Otel,cleanliness,positive
Mevsim Otel - Akyaka Otel,room_facilities,positive
Mevsim Otel - Akyaka Otel,pool_beach,positive
Mevsim Otel - Akyaka Otel,breakfast_quality,positive
Mevsim Otel - Akyaka Otel,cleanliness,positive
Mevsim Otel - Akyaka Otel,room_facilities,positive
Mevsim Otel - Akyaka Otel,pool_beach,positive
Mevsim Otel - Akyaka Otel,breakfast_quality,positive
Mevsim Otel - Akyaka Otel,cleanliness,positive
Mevsim Otel - Akyaka Otel,room_facilities,positive
Mevsim Otel - Akyaka Otel,pool_beach,positive
Mevsim Otel - Akyaka Otel,breakfast_quality,negative
Mevsim Otel - Akyaka Otel,cleanliness,negative
Mevsim Otel - Akyaka Otel,room_facilities,negative
Mevsim Otel - Akyaka Otel,pool_beach,negative
Mevsim Otel - Akyaka Otel,breakfast_quality,negative
Mevsim Otel - Akyaka Otel,cleanliness,negative
Mevsim Otel - Akyaka Otel,room_facilities,negative
Mevsim Otel - Akyaka Otel,pool_beach,negative
Mevsim Otel - Akyaka Otel,breakfast_quality,negative
Mevsim Otel - Akyaka Otel,cleanliness,negative
Mevsim Otel - Akyaka Otel,room_facilities,negative
Mevsim Otel - Akyaka Otel,pool_beach,positive
Mevsim Otel - Akyaka Otel,breakfast_quality,positive
Mevsim Otel - Akyaka Otel,cleanliness,positive
Mevsim Otel - Akyaka Otel,room_facilities,positive
Mevsim Otel - Akyaka Otel,pool_beach,positive
Mevsim Otel - Akyaka Otel,breakfast_quality,positive
Mevsim Otel - Akyaka Otel,cleanliness,positive
Mevsim Otel - Akyaka Otel,room_facilities,positive
Mevsim Otel - Akyaka Otel,pool_beach,positive
Mevsim Otel - Akyaka Otel,breakfast_quality,positive
Mevsim Otel - Akyaka Otel,cleanliness,positive
Mevsim Otel - Akyaka Otel,room_facilities,negative
Mevsim Otel - Akyaka Otel,pool_beach,neutral
Mevsim Otel - Akyaka Otel,breakfast_quality,neutral
Mevsim Otel - Akyaka Otel,cleanliness,neutral
Mevsim Otel - Akyaka Otel,room_facilities,negative
Santo Akyaka Home,pool_beach,positive
Santo Akyaka Home,breakfast_quality,positive
Santo Akyaka Home,cleanliness,positive
Santo Akyaka Home,room_facilities,positive
Santo Akyaka Home,pool_beach,negative
Santo Akyaka Home,breakfast_quality,negative
Santo Akyaka Home,cleanliness,negative
Santo Akyaka Home,room_facilities,negative
Santo Akyaka Home,pool_beach,positive
Santo Akyaka Home,breakfast_quality,positive
Santo Akyaka Home,cleanliness,positive
Santo Akyaka Home,room_facilities,positive
Santo Akyaka Home,pool_beach,neutral
Santo Akyaka Home,breakfast_quality,negative
Santo Akyaka Home,cleanliness,negative
Santo Akyaka Home,room_facilities,negative
Santo Akyaka Home,pool_beach,positive
Santo Akyaka Home,breakfast_quality,positive
Santo Akyaka Home,cleanliness,positive
Santo Akyaka Home,room_facilities,positive
Santo Akyaka Home,pool_beach,negative
Santo Akyaka Home,breakfast_quality,negative
Santo Akyaka Home,cleanliness,positive
Santo Akyaka Home,room_facilities,negative
Santo Akyaka Home,pool_beach,neutral
Santo Akyaka Home,breakfast_quality,positive
Santo Akyaka Home,cleanliness,positive
Santo Akyaka Home,room_facilities,neutral
Santo Akyaka Home,pool_beach,negative
Santo Akyaka Home,breakfast_quality,negative
Santo Akyaka Home,cleanliness,negative
Santo Akyaka Home,room_facilities,neutral
Santo Akyaka Home,pool_beach,positive
Santo Akyaka Home,breakfast_quality,positive
Santo Akyaka Home,cleanliness,positive
Santo Akyaka Home,room_facilities,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,negative
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,negative
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,negative
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,neutral
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,negative
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,negative
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,negative
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,negative
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,pool_beach,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,breakfast_quality,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,cleanliness,positive
TN&CO Exclusive CIP Suites/Primeclass Rooms,room_facilities,positive
Nehir Butik Otel,pool_beach,positive
Nehir Butik Otel,breakfast_quality,positive
Nehir Butik Otel,cleanliness,positive
Nehir Butik Otel,room_facilities,positive
Nehir Butik Otel,pool_beach,positive
Nehir Butik Otel,breakfast_quality,positive
Nehir Butik Otel,cleanliness,positive
Nehir Butik Otel,room_facilities,positive
Nehir Butik Otel,pool_beach,positive
Nehir Butik Otel,breakfast_quality,positive
Nehir Butik Otel,cleanliness,positive
Nehir Butik Otel,room_facilities,positive
Nehir Butik Otel,pool_beach,positive
Nehir Butik Otel,breakfast_quality,positive
Nehir Butik Otel,cleanliness,positive
Nehir Butik Otel,room_facilities,positive
Nehir Butik Otel,pool_beach,neutral
Nehir Butik Otel,breakfast_quality,neutral
Nehir Butik Otel,cleanliness,neutral
Nehir Butik Otel,room_facilities,neutral
Nehir Butik Otel,pool_beach,positive
Nehir Butik Otel,breakfast_quality,positive
Nehir Butik Otel,cleanliness,positive
Nehir Butik Otel,room_facilities,positive
Nehir Butik Otel,pool_beach,positive
Nehir Butik Otel,breakfast_quality,positive
Nehir Butik Otel,cleanliness,positive
Nehir Butik Otel,room_facilities,positive
Nehir Butik Otel,pool_beach,negative
Nehir Butik Otel,breakfast_quality,negative
Nehir Butik Otel,cleanliness,negative
Nehir Butik Otel,room_facilities,negative
Nehir Butik Otel,pool_beach,positive
Nehir Butik Otel,breakfast_quality,positive
Nehir Butik Otel,cleanliness,positive
Nehir Butik Otel,room_facilities,positive
Nehir Butik Otel,pool_beach,positive
Nehir Butik Otel,breakfast_quality,positive
Nehir Butik Otel,cleanliness,positive
Nehir Butik Otel,room_facilities,positive
Summer Otel,pool_beach,negative
Summer Otel,breakfast_quality,negative
Summer Otel,cleanliness,negative
Summer Otel,room_facilities,negative
Summer Otel,pool_beach,positive
